ID,QUERY,CAT,DIFFICULTY
ysqle-trec-2013-20-4,march madness 2012 host city,ConQ,3
ysqle-trec-2013-20-5,march madness 2012 host stadium,ConQ,3
ysqle-trec-2013-20-2,march madness 2012 winning team,ConQ,3
ysqle-trec-2011-60-8,marsupial cartoon character,CatQ,3
ysqle-trec-2011-60-5,marsupial outside australia,CatQ,3
ysqle-trec-2011-60-3,marsupials,CatQ,3
ysqle-trec-2011-59-1,marsupials cartoon,CatQ,3
esdbpediav2-INEX_LD-2012365,mathematician computer scientist mits six inaugural macvicar faculty fellows,ConQ,3
esdbpediav2-SemSearch_LS-24,matt berry tv series,CatQ,10
esdbpediav2-TREC_Entity-18,members of the band jefferson airplane.,CatQ,3
esdbpediav2-TREC_Entity-9,members of the beaux arts trio.,CatQ,3
ysqle-trec-2012-37-0,merck lobbyists,CatQ,3
ysqle-yahoo-371-2,merrell shoes,CatQ,10
ysqle-yahoo-163-0,mexican mayor killed,ConQ,3
ysqle-yahoo-248-12,miss universe,CatQ,10
esdbpediav2-INEX_LD-2012371,most beautiful railway stations world cities located,CatQ,4
ysqle-trec-2013-42-2,most deadly type of gun in gun violence,ConQ,4
esdbpediav2-INEX_LD-2012361,most famous award winning actor singer,ConQ,4
esdbpediav2-INEX_LD-2012369,most famous civic-military airports,ConQ,4
ysqle-trec-2013-42-0,most violent gun violence events,ConQ,4
erd14-TREC-54,mothers day songs,ConQ,10
esdbpediav2-INEX_LD-2012381,movie directors directed a block buster,CatQ,100
ysqle-yahoo-490-0,movie theaters kalamazoo mi,CatQ,3
esdbpediav2-INEX_XER-81,movies about english hooligans,CatQ,10
esdbpediav2-SemSearch_LS-26,movies starring erykah badu,CatQ,10
esdbpediav2-INEX_XER-122,movies with eight or more academy awards,CatQ,10
ysqle-yahoo-143-0,mp3 players,CatQ,100
esdbpediav2-INEX_LD-20120531,music conferences,CatQ,100
esdbpediav2-INEX_XER-117,musicians who appeared in the blues brothers movies,CatQ,10
esdbpediav2-INEX_XER-109,national capitals situated on islands,CatQ,10
esdbpediav2-INEX_XER-138,national parks east coast canada us,CatQ,10
esdbpediav2-SemSearch_LS-29,nations where portuguese is an official language,CatQ,3
esdbpediav2-INEX_XER-62,neil gaiman novels,CatQ,10
ysqle-trec-2010-4-0,neil young albums,CatQ,10
ysqle-trec-2010-23-1,new ps 2 games,CatQ,4
ysqle-yahoo-510-1,new release dvd,ConQ,4
ysqle-trec-2011-28-0,nicknames what are,ConQ,4
esdbpediav2-INEX_XER-110,nobel prize in literature winners who were also poets,CatQ,10
ysqle-yahoo-140-4,nobel winner dies,CatQ,10
esdbpediav2-INEX_XER-106,noble english person from the hundred years war,CatQ,100
ysqle-trec-2011-60-1,non-extinct marsupials,CatQ,3
esdbpediav2-INEX_XER-88,nordic authors who are known for childrens literature,CatQ,10
esdbpediav2-INEX_LD-2012305,north dakotas lowest river of another colour,ConQ,4
ysqle-yahoo-246-0,north korean assassination weapons,CatQ,10
ysqle-yahoo-417-0,notebook,CatQ,100
esdbpediav2-INEX_XER-124,novels that won the booker prize,CatQ,10
ysqle-trec-2013-39-1,number of suny colleges,CatQ,10
ysqle-trec-2010-118-1,obama family,RQ,10
ysqle-trec-2010-102-1,obamas mother,RQ,3
ysqle-trec-2010-59-1,ocd famous sufferers,CatQ,10
esdbpediav2-INEX_XER-60,olympic classes dinghy sailing,CatQ,3
esdbpediav2-INEX_XER-100,operating systems to which steve jobs related,CatQ,3
esdbpediav2-SemSearch_LS-30,orders (or choirs) of angels,CatQ,3
ysqle-trec-2010-18-1,organization dog adoption,CatQ,100
esdbpediav2-TREC_Entity-6,organizations that award nobel prizes.,CatQ,3
esdbpediav2-SemSearch_ES-67,ovguide movies,CatQ,100
esdbpediav2-INEX_XER-65,pacific navigators australia explorers,CatQ,10
ysqle-yahoo-385-7,papa johns c,ConQ,4
ysqle-yahoo-385-8,papa johns co,ConQ,4
ysqle-trec-2013-48-4,patent lawyer,CatQ,100
ysqle-trec-2013-48-1,patent office,CatQ,10
ysqle-yahoo-426-0,patio furiture,CatQ,100
esdbpediav2-INEX_XER-91,paul auster novels,CatQ,10
ysqle-yahoo-78-2,pdf converter,CatQ,10
ysqle-yahoo-78-3,pdf converter online,CatQ,10
esdbpediav2-SemSearch_LS-31,permanent members of the un security council,CatQ,3
ysqle-trec-2013-120-0,philadelphia attractions,CatQ,10
ysqle-trec-2013-121-0,philadelphia tourist attractions,CatQ,10
ysqle-trec-2012-7-2,philidelphia car rental,CatQ,3
ysqle-trec-2013-63-6,phone internet providers,CatQ,10
ysqle-trec-2011-20-1,pictures of dooney bourke look alike purses,ConQ,100
ysqle-trec-2010-134-0,poker tournaments,CatQ,100
ysqle-yahoo-86-0,power bright inverters,CatQ,10
erd14-TREC-59,president of the united states,RQ,10
ysqle-yahoo-13-4,presidents,CatQ,100
esdbpediav2-SemSearch_LS-32,presidents depicted on mount rushmore who died of shooting,CatQ,3
ysqle-yahoo-13-7,presidents elected,CatQ,100
ysqle-yahoo-13-8,presidents elected without popular vote,CatQ,100
ysqle-yahoo-13-6,presidents email,CatQ,100
esdbpediav2-INEX_LD-2012357,prima ballerina bolshoi theatre 1960,CatQ,100
esdbpediav2-INEX_LD-2012333,prime minister canada nicknamed silver-tongued laurier longest unbroken term,ConQ,4
esdbpediav2-TREC_Entity-5,"products of medimmune, inc.",CatQ,100
esdbpediav2-INEX_XER-135,professional baseball team in japan,CatQ,10
esdbpediav2-TREC_Entity-4,professional sports teams in philadelphia.,CatQ,10
ysqle-trec-2010-24-1,providers free wireless,CatQ,100
esdbpediav2-SemSearch_LS-33,provinces and territories of canada,CatQ,10
erd14-TREC-60,ps 2 games,CatQ,3
esdbpediav2-INEX_XER-96,pure object-oriented programing languages,CatQ,10
esdbpediav2-SemSearch_LS-34,ratt albums,CatQ,10
esdbpediav2-INEX_XER-134,record-breaking sprinters in male 100-meter sprints,CatQ,10
esdbpediav2-SemSearch_LS-35,republics of the former yugoslavia,CatQ,3
esdbpediav2-INEX_LD-2012309,residents small island city-state malay peninsula chinese,ConQ,4
esdbpediav2-SemSearch_LS-36,revolutionaries of 1959 in cuba,CatQ,3
ysqle-yahoo-510-14,rio beach chair,CatQ,10
ysqle-yahoo-200-0,river phoenix film,CatQ,10
ysqle-yahoo-371-4,ryka shoes,CatQ,10
ysqle-trec-2012-89-2,sample tube sealing expert,CatQ,100
ysqle-trec-2012-89-1,sample tube sealing services,CatQ,100
ysqle-yahoo-176-0,samsung mobile phones,CatQ,10
ysqle-trec-2010-91-1,satellite internet providers,CatQ,100
esdbpediav2-INEX_XER-129,science fiction book written in the 1980,CatQ,10
ysqle-trec-2010-84-1,science toys for kids,CatQ,100
ysqle-trec-2013-2-2,scooter,CatQ,100
ysqle-trec-2013-2-0,scooter brands,CatQ,100
ysqle-trec-2013-2-1,scooter brands reliable,CatQ,4
ysqle-trec-2013-2-3,scooter cheap,CatQ,100
ysqle-trec-2013-2-5,scooter price,CatQ,100
ysqle-trec-2013-2-4,scooter review,CatQ,100
ysqle-trec-2013-2-6,scooter stores,CatQ,100
esdbpediav2-TREC_Entity-20,scotch whisky distilleries on the island of islay.,CatQ,3
esdbpediav2-QALD2_te-27,sean parnell is the governor of which u.s. state?,QQ,3
esdbpediav2-INEX_LD-2012347,seat florida country dade,ConQ,4
ysqle-trec-2013-85-0,secondhand camera shop,CatQ,100
esdbpediav2-INEX_LD-2012331,seoul korea river name ethnic group china,ConQ,4
esdbpediav2-QALD2_te-92,show me all songs from bruce springsteen released between 1980 and 1990.,CatQ,10
ysqle-yahoo-261-1,sig 522 magazine,CatQ,10
ysqle-yahoo-261-2,sig 522 magazine loader,CatQ,10
erd14-TREC-67,signs of a heartattack,CatQ,10
ysqle-yahoo-358-1,sikkens deck stain,CatQ,10
ysqle-trec-2011-58-6,snooker reigning superstar,ConQ,4
ysqle-yahoo-468-10,snow chains,CatQ,100
ysqle-trec-2010-51-0,solar panels,CatQ,100
ysqle-trec-2010-51-1,solar panels nano-technology,CatQ,100
esdbpediav2-INEX_LD-20120512,south korean girl groups,CatQ,100
ysqle-yahoo-461-7,spa moving equipment,CatQ,10
ysqle-yahoo-509-5,spanish province,CatQ,10
esdbpediav2-TREC_Entity-16,sponsors of the mancuso quilt festivals.,CatQ,100
ysqle-yahoo-144-0,springfield mo movie theaters,CatQ,3
esdbpediav2-SemSearch_LS-37,standard axioms of set theory,CatQ,3
esdbpediav2-INEX_XER-130,star trek captains,CatQ,100
esdbpediav2-INEX_XER-108,state capitals of the united states of america,CatQ,100
esdbpediav2-SemSearch_LS-38,states that border oklahoma,CatQ,3
ysqle-yahoo-436-7,stores with layaway,CatQ,100
ysqle-trec-2010-86-0,student at mitchell college,CatQ,100
ysqle-yahoo-504-0,stuhrling watches,CatQ,10
esdbpediav2-INEX_LD-2012325,successor james g. blaine studied law,ConQ,3
esdbpediav2-INEX_LD-2010069,summer flowers,CatQ,100
ysqle-trec-2013-38-0,suny colleges,CatQ,10
ysqle-trec-2013-39-0,suny colleges names,CatQ,10
esdbpediav2-INEX_LD-2012329,sweden iceland currency,ConQ,4
esdbpediav2-INEX_XER-119,swiss cantons where they speak german,CatQ,10
esdbpediav2-INEX_LD-20120312,tango culture countries,CatQ,4
esdbpediav2-INEX_LD-20120311,tango culture movies,CatQ,10
esdbpediav2-INEX_LD-20120331,tango dance styles,CatQ,10
esdbpediav2-INEX_LD-20120321,tango music composers,CatQ,100
ysqle-yahoo-513-0,target stores,CatQ,100
ysqle-yahoo-29-2,tea tree oil,CatQ,10
ysqle-yahoo-29-3,tea tree oil shampoo,CatQ,10
ysqle-yahoo-29-4,tea tree oil shampoo lice,CatQ,10
esdbpediav2-SemSearch_LS-39,ten ancient greek city-kingdoms of cyprus,CatQ,3
ysqle-trec-2012-88-0,test tube sealing services,CatQ,100
esdbpediav2-INEX_LD-2012337,texas city baylor university tornado 1953,ConQ,3
esdbpediav2-SemSearch_LS-40,the first 13 american states,CatQ,10
esdbpediav2-SemSearch_LS-41,the four of the companions of the prophet,CatQ,3
ysqle-trec-2010-101-0,the music man songs,CatQ,10
esdbpediav2-QALD2_tr-36,through which countries does the yenisei river flow?,"CatQ, QQ",3
ysqle-yahoo-84-5,tim burton characters,CatQ,10
ysqle-yahoo-84-7,tim burton movies,CatQ,10
ysqle-yahoo-468-9,tire chains,CatQ,100
esdbpediav2-QALD2_te-8,to which countries does the himalayan mountain system extend?,"CatQ, QQ",3
esdbpediav2-INEX_XER-95,tom hanks movies where he plays a leading role.,CatQ,10
ysqle-trec-2010-50-0,tornadoes,CatQ,100
esdbpediav2-INEX_XER-126,toy train manufacturers that are still in business,CatQ,10
ysqle-yahoo-155-2,tumblr fat girls,CatQ,100
esdbpediav2-SemSearch_LS-42,twelve tribes or sons of israel,CatQ,10
ysqle-trec-2013-43-3,types of gun used in violent events,CatQ,100
esdbpediav2-INEX_LD-2012335,u.s. president authorise nuclear weapons against japan,CatQ,10
esdbpediav2-INEX_XER-141,universities in catalunya,CatQ,10
esdbpediav2-TREC_Entity-15,universities that are members of the sec conference for football.,CatQ,3
ysqle-trec-2013-1-0,us civil war causes,ConQ,10
ysqle-trec-2013-1-1,us civil war economic causes,ConQ,10
esdbpediav2-INEX_XER-121,us presidents since 1960,CatQ,10
ysqle-yahoo-371-3,vibram shoes,CatQ,10
esdbpediav2-INEX_LD-20120132,vietnam travel airports,ConQ,10
esdbpediav2-INEX_LD-20120131,vietnam travel national park,ConQ,10
esdbpediav2-INEX_LD-20120111,vietnam war movie,CatQ,100
esdbpediav2-INEX_LD-2009115,virtual museums,CatQ,100
ysqle-trec-2013-34-3,voip providers,CatQ,100
ysqle-trec-2010-27-1,volvo semi trucks,CatQ,10
ysqle-trec-2010-136-0,web hosting services small business,CatQ,100
esdbpediav2-INEX_LD-2009074,web ranking scoring algorithm,ConQ,10
esdbpediav2-QALD2_tr-42,what are the official languages of the philippines?,QQ,3
esdbpediav2-SemSearch_LS-43,what books did paul of tarsus write?,"CatQ, QQ",10
esdbpediav2-QALD2_tr-50,what did bruce carver die from?,QQ,3
esdbpediav2-QALD2_te-21,what is the capital of canada?,QQ,3
esdbpediav2-QALD2_tr-31,what is the currency of the czech republic?,QQ,3
esdbpediav2-QALD2_tr-40,what is the highest mountain in australia?,QQ,3
esdbpediav2-QALD2_tr-92,what is the highest mountain?,QQ,3
esdbpediav2-QALD2_tr-47,what is the highest place of karakoram?,QQ,3
esdbpediav2-QALD2_te-86,what is the largest city in australia?,QQ,3
esdbpediav2-QALD2_te-15,what is the longest river?,QQ,3
ysqle-yahoo-523-14,what is the longest running tv show,QQ,3
esdbpediav2-QALD2_te-53,what is the ruling party in lisbon?,QQ,3
esdbpediav2-QALD2_te-5,what is the second highest mountain on earth?,QQ,3
esdbpediav2-QALD2_te-58,what is the time zone of salt lake city?,QQ,3
esdbpediav2-SemSearch_LS-44,what languages do they speak in afghanistan,"CatQ, QQ",3
esdbpediav2-QALD2_tr-6,where did abraham lincoln die?,QQ,3
esdbpediav2-QALD2_te-90,where is the residence of the prime minister of spain?,QQ,3
esdbpediav2-SemSearch_LS-46,where the british monarch is also head of state,"CatQ, QQ",3
ysqle-trec-2013-2-7,where to buy scooters,"CatQ, QQ",100
esdbpediav2-QALD2_tr-68,which actors were born in germany?,"CatQ, QQ",100
esdbpediav2-QALD2_tr-79,"which airports are located in california, usa?","CatQ, QQ",3
esdbpediav2-QALD2_tr-29,which awards did wikileaks win?,"CatQ, QQ",3
esdbpediav2-QALD2_te-81,which books by kerouac were published by viking press?,"CatQ, QQ",100
esdbpediav2-QALD2_tr-26,which bridges are of the same type as the manhattan bridge?,"CatQ, QQ",10
esdbpediav2-QALD2_tr-74,which capitals in europe were host cities of the summer olympic games?,"CatQ, QQ",10
esdbpediav2-QALD2_tr-69,which caves have more than 3 entrances?,"CatQ, QQ",4
esdbpediav2-QALD2_te-44,which cities does the weser flow through?,"CatQ, QQ",3
esdbpediav2-QALD2_tr-13,which classis does the millepede belong to?,QQ,3
esdbpediav2-QALD2_tr-65,which companies work in the aerospace industry as well as on nuclear reactor technology?,"CatQ, QQ",10
esdbpediav2-QALD2_te-45,which countries are connected by the rhine?,"CatQ, QQ",3
esdbpediav2-QALD2_tr-34,which countries have more than two official languages?,"CatQ, QQ",10
esdbpediav2-QALD2_tr-11,which countries have places with more than two caves?,QQ,100
esdbpediav2-QALD2_tr-32,which countries in the european union adopted the euro?,"CatQ, QQ",10
esdbpediav2-QALD2_te-98,which country does the creator of miffy come from?,QQ,3
esdbpediav2-QALD2_tr-81,which country has the most official languages?,QQ,3
esdbpediav2-QALD2_te-75,which daughters of british earls died in the same place they were born in?,"CatQ, QQ",3
esdbpediav2-QALD2_tr-28,which european countries have a constitutional monarchy?,"CatQ, QQ",10
esdbpediav2-QALD2_te-88,which films starring clint eastwood did he direct himself?,QQ,10
esdbpediav2-QALD2_te-1,which german cities have more than 250000 inhabitants?,"CatQ, QQ",10
esdbpediav2-QALD2_te-55,which greek goddesses dwelt on mount olympus?,QQ,3
ysqle-trec-2011-72-1,which home pregnancy tests are most accurate,QQ,4
esdbpediav2-QALD2_te-65,which instruments did john lennon play?,"CatQ, QQ",3
esdbpediav2-QALD2_tr-72,which languages are spoken in estonia?,"CatQ, QQ",3
esdbpediav2-QALD2_tr-38,which monarchs of the united kingdom were married to a german?,"CatQ, QQ",3
esdbpediav2-QALD2_tr-24,which mountain is the highest after the annapurna?,QQ,3
esdbpediav2-QALD2_tr-61,which mountains are higher than the nanga parbat?,"CatQ, QQ",3
esdbpediav2-QALD2_te-93,which movies did sam raimi direct after army of darkness?,"CatQ, QQ",10
esdbpediav2-QALD2_tr-18,which museum exhibits the scream by munch?,QQ,3
esdbpediav2-QALD2_tr-77,which music albums contain the song last christmas?,"CatQ, QQ",10
esdbpediav2-QALD2_tr-91,which organizations were founded in 1950?,"CatQ, QQ",100
esdbpediav2-QALD2_te-49,which other weapons did the designer of the uzi develop?,"CatQ, QQ",10
esdbpediav2-QALD2_tr-52,which presidents were born in 1945?,"CatQ, QQ",10
esdbpediav2-QALD2_te-46,which professional surfers were born on the philippines?,"CatQ, QQ",10
esdbpediav2-QALD2_tr-4,which river does the brooklyn bridge cross?,QQ,3
esdbpediav2-QALD2_te-66,which ships were called after benjamin franklin?,"CatQ, QQ",3
esdbpediav2-QALD2_tr-64,which software has been developed by organizations founded in california?,"CatQ, QQ",10
esdbpediav2-QALD2_tr-30,which state of the usa has the highest population density?,QQ,3
esdbpediav2-QALD2_tr-21,which states border illinois?,"CatQ, QQ",3
esdbpediav2-QALD2_tr-8,which states of germany are governed by the social democratic party?,"CatQ, QQ",3
esdbpediav2-QALD2_tr-45,which telecommunications organizations are located in belgium?,"CatQ, QQ",10
esdbpediav2-QALD2_tr-23,which television shows were created by walt disney?,"CatQ, QQ",100
esdbpediav2-QALD2_te-25,which u.s. state has been admitted latest?,QQ,3
esdbpediav2-QALD2_te-91,which u.s. state has the abbreviation mn?,QQ,3
esdbpediav2-QALD2_te-59,which u.s. states are in the same timezone as utah?,"CatQ, QQ",3
esdbpediav2-QALD2_tr-9,which u.s. states possess gold minerals?,CatQ,4
esdbpediav2-QALD2_te-67,who are the parents of the wife of juan carlos i?,QQ,3
esdbpediav2-QALD2_te-87,who composed the music for harold and maude?,QQ,3
esdbpediav2-QALD2_tr-15,who created goofy?,QQ,3
esdbpediav2-QALD2_te-84,who created the comic captain america?,QQ,3
esdbpediav2-QALD2_tr-62,who created wikipedia?,QQ,3
esdbpediav2-QALD2_tr-44,who designed the brooklyn bridge?,QQ,3
esdbpediav2-QALD2_te-35,who developed skype?,QQ,3
esdbpediav2-QALD2_tr-55,who developed the video game world of warcraft?,QQ,3
esdbpediav2-QALD2_te-41,who founded intel?,QQ,3
esdbpediav2-QALD2_tr-75,who has been the 5th president of the united states of america?,QQ,3
erd14-TREC-91,who invented music,"ConQ, QQ",4
esdbpediav2-SemSearch_LS-49,who invented the python programming language,QQ,3
ysqle-trec-2010-11-1,who invented the radio,QQ,3
esdbpediav2-QALD2_tr-3,who is the daughter of bill clinton married to?,QQ,3
esdbpediav2-QALD2_te-11,who is the formula 1 race driver with the most races?,QQ,3
esdbpediav2-QALD2_te-22,who is the governor of texas?,QQ,3
esdbpediav2-QALD2_te-42,who is the husband of amanda palmer?,QQ,3
esdbpediav2-QALD2_te-3,who is the mayor of berlin?,QQ,3
esdbpediav2-QALD2_tr-43,who is the mayor of new york city?,QQ,3
esdbpediav2-QALD2_tr-35,who is the owner of universal studios?,QQ,3
esdbpediav2-QALD2_te-13,who is the youngest player in the premier league?,QQ,10
esdbpediav2-QALD2_tr-73,who owns aldi?,QQ,3
esdbpediav2-QALD2_te-97,who painted the storm on the sea of galilee?,QQ,3
esdbpediav2-QALD2_tr-83,who produced films starring natalie portman?,"CatQ, QQ",10
esdbpediav2-QALD2_tr-58,who produced the most films?,QQ,3
esdbpediav2-QALD2_te-77,who was called scarface?,QQ,3
esdbpediav2-QALD2_te-24,who was the father of queen elizabeth ii?,QQ,3
esdbpediav2-QALD2_te-2,who was the successor of john f. kennedy?,QQ,3
esdbpediav2-QALD2_tr-54,who was the wife of u.s. president lincoln?,QQ,3
esdbpediav2-QALD2_tr-87,who wrote the book the pillars of the earth?,QQ,3
esdbpediav2-QALD2_te-95,who wrote the lyrics for the polish national anthem?,QQ,3
ysqle-trec-2012-72-1,whole house dehumidifier,CatQ,100
ysqle-yahoo-16-2,windows xp 8,ConQ,4
esdbpediav2-TREC_Entity-2,winners of the acm athena award.,CatQ,3
ysqle-yahoo-273-3,womens adidas bounce,CatQ,10
esdbpediav2-SemSearch_LS-50,wonders of the ancient world,CatQ,3
ysqle-yahoo-358-0,woodsman stain,CatQ,10
ysqle-yahoo-96-0,word 2007 to 2003 converter,CatQ,10
esdbpediav2-INEX_XER-79,works by charles rennie mackintosh,CatQ,10
ysqle-trec-2012-29-4,world film industries,CatQ,10
ysqle-trec-2011-58-5,world snooker reigning superstar,ConQ,4
ysqle-yahoo-450-0,youtube video,CatQ,100
