ID;TASK;QUERY;CAT;DIFFICULTY;MENTION#0;URL#0;RELEVANCE#0;MENTION#1;URL#1;RELEVANCE#1;MENTION#2;URL#2;RELEVANCE#2;MENTION#3;URL#3;RELEVANCE#3;MENTION#4;URL#4;RELEVANCE#4;MENTION#5;URL#5;RELEVANCE#5;MENTION#6;URL#6;RELEVANCE#6;MENTION#7;URL#7;RELEVANCE#7;MENTION#8;URL#8;RELEVANCE#8;MENTION#9;URL#9;RELEVANCE#9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-001;exer;new york times square dance;ConQ;2;new york times;https://en.wikipedia.org/wiki/The_New_York_Times;2;new york;https://en.wikipedia.org/wiki/New_York_City;2;new york;https://en.wikipedia.org/wiki/New_York_(state);1;times square;https://en.wikipedia.org/wiki/Times_Square;2;square dance;https://en.wikipedia.org/wiki/Square_Dance_(ballet);1;square dance;https://en.wikipedia.org/wiki/Square_Dance_(film);2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-001;imer;new york times square dance;ConQ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-002;exer;skyline drive in west virginia;ConQ, LQ;2;skyline drive;https://en.wikipedia.org/wiki/Skyline_Drive;2;west virginia;https://en.wikipedia.org/wiki/West_Virginia;2;virginia;https://en.wikipedia.org/wiki/Virginia;2;skyline drive in;http://cinematreasures.org/theaters/58183;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-002;imer;skyline drive in west virginia;ConQ, LQ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-003;exer;elton john wayne rooney;ConQ;2;elton john;https://en.wikipedia.org/wiki/Elton_John;2;elton john;https://en.wikipedia.org/wiki/Elton_John_(footballer);1;john wayne;https://en.wikipedia.org/wiki/John_Wayne;2;wayne rooney;https://en.wikipedia.org/wiki/Wayne_Rooney;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-003;imer;elton john wayne rooney;ConQ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-004;exer;frank zappa mother;ConQ, RQ;3;frank zappa;https://en.wikipedia.org/wiki/Frank_Zappa;2;mother;https://en.wikipedia.org/wiki/The_Mothers_of_Invention;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-004;imer;frank zappa mother;ConQ, RQ;3;mother;http://wiki.killuglyradio.com/wiki/Rose_Marie_Zappa;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-005;exer;big data problem;ConQ;2;big data;https://en.wikipedia.org/wiki/Big_Data_(band);1;data;https://en.wikipedia.org/wiki/DATA_(band);1;big data;https://en.wikipedia.org/wiki/Big_data;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-005;imer;big data problem;ConQ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-006;exer;camden riversharks;ConQ, LQ;2;camden riversharks;https://en.wikipedia.org/wiki/Camden_Riversharks;2;camden;https://en.wikipedia.org/wiki/Camden,_New_South_Wales;1;camden;https://en.wikipedia.org/wiki/Camden,_Nova_Scotia;1;camden;https://en.wikipedia.org/wiki/Camden,_Alabama;1;camden;https://en.wikipedia.org/wiki/Camden,_Arkansas;1;camden;https://en.wikipedia.org/wiki/Camden,_Fresno_County,_California;1;camden;https://en.wikipedia.org/wiki/Camden,_Delaware;1;camden;https://en.wikipedia.org/wiki/Camden,_Illinois;1;camden;https://en.wikipedia.org/wiki/Camden,_Indiana;1;camden;https://en.wikipedia.org/wiki/Camden,_Maine;1;camden;https://en.wikipedia.org/wiki/Camden,_Michigan;1;camden;https://en.wikipedia.org/wiki/Camden,_Minneapolis;1;camden;https://en.wikipedia.org/wiki/Camden,_Missouri;1;camden;https://en.wikipedia.org/wiki/Camden,_New_Jersey;1;camden;https://en.wikipedia.org/wiki/Camden,_New_York;1;camden;https://en.wikipedia.org/wiki/Camden,_North_Carolina;1;camden;https://en.wikipedia.org/wiki/Camden,_Ohio;1;camden;https://en.wikipedia.org/wiki/Camden,_South_Carolina;1;camden;https://en.wikipedia.org/wiki/Camden,_Tennessee;1;camden;https://en.wikipedia.org/wiki/Camden,_Texas;1;camden;https://en.wikipedia.org/wiki/Camden,_Mississippi;1
webis-006;imer;camden riversharks;ConQ, LQ;2;camden;https://en.wikipedia.org/wiki/Camden_Haven_River;2;camden riversharks;https://www.adventureaquarium.com/What-To-Do/Attractions/Shark-Realm;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-007;exer;kendrick lamar i tunes;ConQ;2;kendrick lamar;https://en.wikipedia.org/wiki/Kendrick_Lamar;2;kendrick lamar;https://en.wikipedia.org/wiki/Kendrick_Lamar_(EP);2;i;https://en.wikipedia.org/wiki/I_(Kendrick_Lamar_song);1;i tunes;https://en.wikipedia.org/wiki/ITunes;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-007;imer;kendrick lamar i tunes;ConQ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-008;exer;kenneth cole black friday sale;ConQ;2;kenneth cole;https://en.wikipedia.org/wiki/Kenneth_Cole_(designer);2;black friday;https://en.wikipedia.org/wiki/Black_Friday_(shopping);2;black;https://www.amazon.com/Kenneth-Cole-Black-3-4-Fl/dp/B00CEK10Q2;2;kenneth;https://en.wikipedia.org/wiki/Kenneth,_Indiana;1;kenneth;https://en.wikipedia.org/wiki/Kenneth,_Minnesota;1;cole black;https://en.wikipedia.org/wiki/Cole_Black;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-008;imer;kenneth cole black friday sale;ConQ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-009;exer;first aid kit fireworks;ConQ;2;first aid kit;https://en.wikipedia.org/wiki/First_Aid_Kit_(band);2;fireworks;https://www.amazon.de/Fireworks/dp/B076L6M3DV;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-009;imer;first aid kit fireworks;ConQ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-010;exer;frankie goes hollywood;ConQ, LQ;2;frankie goes hollywood;https://en.wikipedia.org/wiki/Frankie_Goes_to_Hollywood;2;frankie goes hollywood;https://en.wikipedia.org/wiki/Frankie_Goes_to_Hollywood_(video_game);2;frankie;https://en.wikipedia.org/wiki/Frank_Sinatra;1;hollywood;https://en.wikipedia.org/wiki/Hollywood;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-010;imer;frankie goes hollywood;ConQ, LQ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-011;exer;cage the elephant;ConQ, LQ;2;cage the elephant;https://en.wikipedia.org/wiki/Cage_the_Elephant;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-011;imer;cage the elephant;ConQ, LQ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-012;exer;page played kashmir knebworth les paul tuned uniquely;ConQ, LQ;2;page;https://en.wikipedia.org/wiki/Jimmy_Page;2;kashmir;https://en.wikipedia.org/wiki/Kashmir_(song);2;knebworth;https://en.wikipedia.org/wiki/Knebworth_Festival_1979;2;les paul;https://en.wikipedia.org/wiki/Gibson_Les_Paul;2;knebworth;https://en.wikipedia.org/wiki/Knebworth;1;les paul;https://en.wikipedia.org/wiki/Les_Paul;1;kashmir;https://en.wikipedia.org/wiki/Kashmir;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-012;imer;page played kashmir knebworth les paul tuned uniquely;ConQ, LQ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-013;exer;tom cruise ship scene;ConQ;2;tom cruise;https://en.wikipedia.org/wiki/Tom_Cruise;2;tom;https://en.wikipedia.org/wiki/Tom_and_Jerry;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-013;imer;tom cruise ship scene;ConQ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-001;exer;aida by giuseppe verdi;ConQ;1;aida;https://en.wikipedia.org/wiki/Aida;2;giuseppe verdi;https://en.wikipedia.org/wiki/Giuseppe_Verdi;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-001;imer;aida by giuseppe verdi;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-002;exer;aida by elton john and tim rice;ConQ;1;aida;https://en.wikipedia.org/wiki/Aida_(musical);2;elton john;https://en.wikipedia.org/wiki/Elton_John;2;tim rice;https://en.wikipedia.org/wiki/Tim_Rice;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-002;imer;aida by elton john and tim rice;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-003;exer;aida palestinian refugee camp;ConQ;1;aida;https://en.wikipedia.org/wiki/Aida_Camp;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-003;imer;aida palestinian refugee camp;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-004;exer;aida starring sophia loren 1953;ConQ;1;aida;https://en.wikipedia.org/wiki/Aida_(1953_film);2;sophia loren;https://en.wikipedia.org/wiki/Sophia_Loren;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-004;imer;aida starring sophia loren 1953;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-005;exer;b-52 stratofortress bomber aircraft designed by boeing;ConQ;1;b-52 stratofortress bomber aircraft;https://en.wikipedia.org/wiki/Boeing_B-52_Stratofortress;2;boeing;https://en.wikipedia.org/wiki/Boeing;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-005;imer;b-52 stratofortress bomber aircraft designed by boeing;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-006;exer;the b-52s rock band;ConQ;2;the b-52s;https://en.wikipedia.org/wiki/The_B-52%27s;2;rock band;https://en.wikipedia.org/wiki/Rock_Band;1;rock band;https://en.wikipedia.org/wiki/Rock_Band_(video_game);1;rock band;https://en.wikipedia.org/wiki/Rock_Band_(iOS);1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-006;imer;the b-52s rock band;ConQ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-007;exer;the bronx borough in new york city;ConQ;1;the bronx;https://en.wikipedia.org/wiki/The_Bronx;2;new york city;https://en.wikipedia.org/wiki/New_York_City;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-007;imer;the bronx borough in new york city;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-008;exer;bronx botanical garden;LQ;1;bronx botanical garden;https://en.wikipedia.org/wiki/New_York_Botanical_Garden;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-008;imer;bronx botanical garden;LQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-009;exer;a bronx morning film from 1931;ConQ;1;a bronx morning;https://en.wikipedia.org/wiki/A_Bronx_Morning;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-009;imer;a bronx morning film from 1931;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-010;exer;dean cain;LQ;1;dean cain;https://en.wikipedia.org/wiki/Dean_Cain;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-010;imer;dean cain;LQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-011;exer;herb cain;LQ;1;herb cain;https://en.wikipedia.org/wiki/Herb_Cain;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-011;imer;herb cain;LQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-012;exer;james m cain;LQ;1;james m cain;https://en.wikipedia.org/wiki/James_M._Cain;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-012;imer;james m cain;LQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-013;exer;liz cain;LQ;1;liz cain;https://en.wikipedia.org/wiki/Elizabeth_Cain;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-013;imer;liz cain;LQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-014;exer;cain by lord byron;ConQ;1;cain;https://en.wikipedia.org/wiki/Cain_(play);2;lord byron;https://en.wikipedia.org/wiki/Lord_Byron;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-014;imer;cain by lord byron;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-015;exer;camel cigarette brand from the usa;ConQ;1;camel;https://en.wikipedia.org/wiki/Camel_(cigarette);2;usa;https://en.wikipedia.org/wiki/United_States;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-015;imer;camel cigarette brand from the usa;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-016;exer;the cube 1969 directed by jim henson;ConQ;1;the cube;https://en.wikipedia.org/wiki/The_Cube_(film);2;jim henson;https://en.wikipedia.org/wiki/Jim_Henson;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-016;imer;the cube 1969 directed by jim henson;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-017;exer;nintendo gamecube;LQ;1;nintendo gamecube;https://en.wikipedia.org/wiki/GameCube;2;nintendo;https://en.wikipedia.org/wiki/Nintendo;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-017;imer;nintendo gamecube;LQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-018;exer;aprilia rs3 cube;LQ;1;aprilia rs3 cube;https://en.wikipedia.org/wiki/Aprilia_RS_Cube;2;aprilia;https://en.wikipedia.org/wiki/Aprilia;2;aprilia;https://en.wikipedia.org/wiki/Aprilia,_Lazio;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-018;imer;aprilia rs3 cube;LQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-019;exer;nissan cube;LQ;1;nissan cube;https://en.wikipedia.org/wiki/Nissan_Cube;2;nissan;https://en.wikipedia.org/wiki/Nissan;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-019;imer;nissan cube;LQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-020;exer;power mac g4 cube from apple;ConQ;2;power mac g4 cube;https://en.wikipedia.org/wiki/Power_Mac_G4_Cube;2;apple;https://en.wikipedia.org/wiki/Apple_Inc.;2;power mac;https://en.wikipedia.org/wiki/Power_Macintosh;2;apple;https://en.wikipedia.org/wiki/Apple,_Oklahoma;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-020;imer;power mac g4 cube from apple;ConQ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-021;exer;excalibur of king arthur;ConQ;2;excalibur;https://en.wikipedia.org/wiki/Excalibur;2;king arthur;https://en.wikipedia.org/wiki/King_Arthur;2;king arthur;https://en.wikipedia.org/wiki/King_Arthur_(TV_series);1;king arthur;https://en.wikipedia.org/wiki/King_Arthur_(2004_film);1;king arthur;https://en.wikipedia.org/wiki/King_Arthur_(video_game);1;king arthur;https://en.wikipedia.org/wiki/King_Arthur_(opera);1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-021;imer;excalibur of king arthur;ConQ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-022;exer;excalibur produced by john boorman;ConQ;1;excalibur;https://en.wikipedia.org/wiki/Excalibur_(film);2;john boorman;https://en.wikipedia.org/wiki/John_Boorman;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-022;imer;excalibur produced by john boorman;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-023;exer;excalibur by grave digger;ConQ;1;excalibur;https://en.wikipedia.org/wiki/Excalibur_(Grave_Digger_album);2;grave digger;https://en.wikipedia.org/wiki/Grave_Digger_(band);2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-023;imer;excalibur by grave digger;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-024;exer;excalibur designed by chris crawford;ConQ;1;excalibur;https://en.wikipedia.org/wiki/Excalibur_(video_game);2;chris crawford;https://en.wikipedia.org/wiki/Chris_Crawford_(game_designer);2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-024;imer;excalibur designed by chris crawford;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-025;exer;excalibur written by sanders anne laubenthal;ConQ;1;excalibur;https://en.wikipedia.org/wiki/Excalibur_(novel);2;sanders anne laubenthal;https://en.wikipedia.org/wiki/Sanders_Anne_Laubenthal;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-025;imer;excalibur written by sanders anne laubenthal;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-026;exer;hms excalibur constructed for royal navy;ConQ;1;hms excalibur;https://en.wikipedia.org/wiki/HMS_Excalibur;2;royal navy;https://en.wikipedia.org/wiki/Royal_Navy;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-026;imer;hms excalibur constructed for royal navy;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-027;exer;gabriel fahrenheit german physicist;ConQ;1;gabriel fahrenheit;https://en.wikipedia.org/wiki/Daniel_Gabriel_Fahrenheit;2;german;https://en.wikipedia.org/wiki/Germany;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-027;imer;gabriel fahrenheit german physicist;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-028;exer;fahrenheit 451 written by ray bradbury;ConQ;1;fahrenheit 451;https://en.wikipedia.org/wiki/Fahrenheit_451;2;ray bradbury;https://en.wikipedia.org/wiki/Ray_Bradbury;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-028;imer;fahrenheit 451 written by ray bradbury;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-029;exer;globe arizona in united states;ConQ;1;globe;https://en.wikipedia.org/wiki/Globe,_Arizona;2;united states;https://en.wikipedia.org/wiki/United_States;2;arizona;https://en.wikipedia.org/wiki/Arizona;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-029;imer;globe arizona in united states;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-030;exer;the boston globe created by charles h taylor;ConQ;1;the boston globe;https://en.wikipedia.org/wiki/The_Boston_Globe;2;charles h taylor;https://en.wikipedia.org/wiki/Charles_H._Taylor_(publisher);2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-030;imer;the boston globe created by charles h taylor;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-031;exer;fa-18 hornet;LQ;1;fa-18 hornet;https://en.wikipedia.org/wiki/McDonnell_Douglas_F/A-18_Hornet;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-031;imer;fa-18 hornet;LQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-032;exer;hornet township minnesota;LQ;1;hornet township minnesota;https://en.wikipedia.org/wiki/Hornet_Township,_Beltrami_County,_Minnesota;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-032;imer;hornet township minnesota;LQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-033;exer;new orleans hornets nba;ConQ;1;new orleans hornets;https://en.wikipedia.org/wiki/New_Orleans_Pelicans;2;nba;https://en.wikipedia.org/wiki/National_Basketball_Association;2;new orleans;https://en.wikipedia.org/wiki/New_Orleans;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
webis-ambient-033;imer;new orleans hornets nba;ConQ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
